"data_type";"cruise_id";"profile_id";"sample_id";"sample_min_depth";"sample_max_depth";"profile_depth_min";"profile_depth_max";"profile_date_time";"cast_net_op_m2";"subsample_id";"sample_segment_length";"subsample_count_type";"subsample_size_fraction_min";"subsample_size_fraction_max";"site_lat_start_decimal";"site_lon_start_decimal";"sample_volume_filtered";"subsample_all_shells_present_were_counted";"total_of_forams_counted_ind";"sampling_device_type";"b_digitata_VT";"b_pumilio_VT";"b_variabilis_VT";"c_nitida_VT";"d_anfracta_VT";"g_adamsi_VT";"g_bulloides_VT";"g_calida_VT";"g_cavernula_VT";"g_conglobatus_VT";"g_conglomerata_VT";"g_crassaformis_VT";"g_elongatus_VT";"g_falconensis_VT";"g_glutinata_VT";"g_hexagona_VT";"g_hirsuta_VT";"g_inflata_VT";"g_cultrata_VT";"g_minuta_VT";"g_ruber_albus_VT";"g_ruber_albus_or_elongatus_VT";"g_ruber_any_VT";"g_ruber_ruber_VT";"g_rubescens_VT";"g_scitula_VT";"g_siphonifera_VT";"g_tenellus_VT";"g_theyeri_VT";"g_truncatulinoides_VT";"g_truncatulinoides_left_VT";"g_truncatulinoides_right_VT";"g_tumida_VT";"g_ungulata_VT";"g_uvula_VT";"n_vivans_VT";"h_digitata_VT";"h_pelagica_VT";"n_dutertrei_VT";"n_incompta_VT";"n_pachyderma_VT";"n_pachyderma_incompta_VT";"o_riedeli_VT";"o_universa_VT";"p_obliquiloculata_VT";"s_dehiscens_VT";"t_clarkei_VT";"t_fleisheri_VT";"t_humilis_VT";"t_iota_VT";"t_parkerae_VT";"t_quinqueloba_VT";"t_sacculifer_VT";"t_sacculifer_no_sac_VT";"t_sacculifer_sac_VT";"UnID_VT"
"Net";"ATLANTIS_II_cruise49";"ATLANTIS_II_cruise49_10_1";"ATLANTIS_II_cruise49-10";0;86;0;86;"01/06/1969";"0,75";"ATLANTIS_II_cruise49-10";NA;"Relative";158;NA;338;2215;645;1;206;"Net";0;0;0;"0";0;0;"0";0;0;"0";"0";0;"0";0;"0";0;0;"0";"0";0;"0";"0";66;"0";0;"0";"6";"15";0;"10,5";0;0;0;0;"0";0;0;"3";"0";"0";"0";0;"0";"3";"0";0;0;0;0;0;0;"0,5";"0";"6";0;"0"
"Net";"ATLANTIS_II_cruise49";"ATLANTIS_II_cruise49_11_1";"ATLANTIS_II_cruise49-11";0;86;0;86;"01/06/1969";"0,75";"ATLANTIS_II_cruise49-11";NA;"Relative";158;NA;338;2155;645;1;198;"Net";0;0;0;"0";0;0;"0";0;0;"0";"0";0;"0";0;"0";0;0;"0";"0";0;"0";"0";69;"0";0;"0";"3";"25";0;"0";0;0;0;0;"0";0;0;"1";"0";"0";"0";0;"0";"1";"0";0;0;0;0;0;0;"0";"0";"2";0;"0"
"Net";"ATLANTIS_II_cruise49";"ATLANTIS_II_cruise49_13_1";"ATLANTIS_II_cruise49-13";0;118;0;118;"01/06/1969";"0,75";"ATLANTIS_II_cruise49-13";NA;"Relative";158;NA;336;203;885;1;136;"Net";0;0;0;"0";0;0;"0";0;0;"0";"0";0;"0";1;"2";0;0;"5";"0";0;"0";"0";46;"0";0;"0";"7";"15";0;"0";0;0;0;0;"0";0;0;"6";"0";"0";"0";0;"0";"1";"0";0;0;0;0;0;0;"0";"0";"15";0;"0"
"Net";"ATLANTIS_II_cruise49";"ATLANTIS_II_cruise49_14_1";"ATLANTIS_II_cruise49-14";0;106;0;106;"01/06/1969";"0,75";"ATLANTIS_II_cruise49-14";NA;"Relative";158;NA;335;202;795;1;138;"Net";0;0;0;"0";0;0;"0";0;0;"0";"0";0;"0";2;"0,5";0;0;"1";"0";0;"0";"0";22;"0";0;"0";"20";"22";0;"0";0;0;0;0;"0";0;0;"27";"0";"0";"0";0;"0";"2";"0";0;0;0;0;0;0;"0";"0";"4";0;"0"
"Net";"ATLANTIS_II_cruise49";"ATLANTIS_II_cruise49_16_1";"ATLANTIS_II_cruise49-16";0;118;0;118;"01/06/1969";"0,75";"ATLANTIS_II_cruise49-16";NA;"Relative";158;NA;334;192;885;1;142;"Net";0;0;0;"0";0;0;"0";0;0;"0";"0";0;"0";NA;"1";0;0;"0,5";"0";0;"0";"0";47;"0";0;"0";"2";"20";0;"0,5";0;0;0;0;"0";0;0;"4";"0";"0";"0";0;"0";"1";"0";0;0;0;0;0;0;"0";"0";"20";0;"0"
"Net";"ATLANTIS_II_cruise49";"ATLANTIS_II_cruise49_17_1";"ATLANTIS_II_cruise49-17";0;86;0;86;"01/06/1969";"0,75";"ATLANTIS_II_cruise49-17";NA;"Relative";158;NA;3375;1865;645;1;325;"Net";0;0;0;"0";0;0;"0";0;0;"0";"0";0;"0";1;"3";0;0;"1";"0";0;"0";"0";41;"0";0;"0";"17";"11";0;"0";0;0;0;0;"0";0;0;"5";"0";"0";"0";0;"0";"1";"0";0;0;0;0;0;0;"0";"0";"20";0;"0"
"Net";"ATLANTIS_II_cruise49";"ATLANTIS_II_cruise49_18_1";"ATLANTIS_II_cruise49-18";0;64;0;64;"01/06/1969";"0,75";"ATLANTIS_II_cruise49-18";NA;"Relative";158;NA;3475;181;48;1;116;"Net";0;0;0;"0";0;0;"0";0;0;"0";"0";0;"0";3;"1";0;0;"3";"0";0;"0";"0";46;"0";0;"0";"14";"13";0;"0";0;0;0;0;"0";0;0;"7";"0";"0";"0";0;"0";"2";"0";0;0;0;0;0;0;"0";"0";"11";0;"0"
"Net";"ATLANTIS_II_cruise49";"ATLANTIS_II_cruise49_19_1";"ATLANTIS_II_cruise49-19";0;73;0;73;"01/06/1969";"0,75";"ATLANTIS_II_cruise49-19";NA;"Relative";158;NA;357;175;5475;1;86;"Net";0;0;0;"0";0;0;"0";0;0;"0";"0";0;"0";0;"0";0;0;"8";"0";0;"0";"0";65;"0";0;"0";"3";"0";0;"0";0;0;0;0;"0";0;0;"1";"0";"0";"0";0;"0";"9";"0";0;0;0;0;0;0;"1";"0";"12";0;"0"
"Net";"ATLANTIS_II_cruise49";"ATLANTIS_II_cruise49_21_1";"ATLANTIS_II_cruise49-21";0;83;0;83;"01/06/1969";"0,75";"ATLANTIS_II_cruise49-21";NA;"Relative";158;NA;375;1565;6225;1;139;"Net";0;0;0;"0";0;0;"0";0;0;"0";"0";0;"0";5;"6";0;0;"6";"0";0;"0";"0";12;"0";0;"0";"26";"2";0;"0,5";0;0;0;0;"0";0;0;"13";"0";"0";"0";0;"0";"0,5";"0";0;0;0;0;0;0;"15";"0";"14";0;"0"
"Net";"ATLANTIS_II_cruise49";"ATLANTIS_II_cruise49_25_1";"ATLANTIS_II_cruise49-25";0;127;0;127;"01/06/1969";"0,75";"ATLANTIS_II_cruise49-25";NA;"Relative";158;NA;3945;1425;9525;1;165;"Net";0;0;0;"0";0;0;"0";0;0;"0";"0";0;"0";7;"0";0;0;"5";"0,5";0;"0";"0";0;"0";0;"0";"47";"3";0;"9";0;0;0;0;"0";0;0;"5";"0";"2";"0";0;"0";"7";"0";0;0;0;0;0;0;"7";"0";"7";0;"0"
